supplier,item_category,order_status,compliance,quantity,order_date,delivery_date,delivery_lead_time,unit_price,negotiated_price,actual_spend,savings_per_unit,total_savings,savings_percentage,defective_units,defect_rate
Epsilon_Group,Office Supplies,Delivered,Yes,239,2022-09-28,2022-10-14,16.0,11.46,11.28,2695.92,0.18,43.02,1.5699999999999998,4.0,1.6736401673640167
Delta_Logistics,Office Supplies,Pending,Yes,1007,2022-02-14,2022-03-05,19.0,52.44,46.06,46382.420000000006,6.38,6424.66,12.17,167.0,
Alpha_Inc,MRO,Pending,Yes,736,2023-04-16,,,16.2,15.33,11282.88,0.87,640.32,5.37,18.0,
Epsilon_Group,Electronics,Delivered,Yes,1007,2023-07-04,2023-07-14,10.0,22.56,19.59,19727.13,2.97,2990.79,13.16,,
Delta_Logistics,Office Supplies,Delivered,Yes,612,2022-05-08,,,20.99,19.75,12087.0,1.24,758.88,5.91,102.0,
Alpha_Inc,MRO,Pending,No,1949,2023-01-23,2023-02-02,10.0,72.53,63.26,123293.73999999999,9.27,18067.23,12.78,48.0,
Delta_Logistics,Office Supplies,Cancelled,No,1640,2022-03-22,2022-03-28,6.0,77.92,76.41,125312.4,1.51,2476.4,1.94,262.0,
Beta_Supplies,Electronics,Delivered,Yes,1317,2023-07-20,2023-08-07,18.0,68.13,60.52,79704.84000000001,7.61,10022.37,11.17,136.0,10.32649962034928
Epsilon_Group,Raw Materials,Delivered,Yes,881,2022-10-28,2022-10-30,2.0,100.94,95.05,83739.05,5.89,5189.09,5.84,30.0,3.40522133938706
Delta_Logistics,Packaging,Delivered,Yes,1578,2023-10-06,,,48.33,42.77,67491.06,5.56,8773.68,11.5,206.0,
Delta_Logistics,MRO,Delivered,Yes,1204,2023-09-26,2023-10-01,5.0,39.29,35.44,42669.759999999995,3.85,4635.4,9.8,,
Epsilon_Group,MRO,Pending,Yes,1558,2023-01-06,2023-01-22,16.0,93.46,91.27,142198.66,2.19,3412.02,2.34,39.0,
Alpha_Inc,Packaging,Delivered,Yes,1892,2023-08-15,2023-08-16,1.0,32.99,28.81,54508.52,4.18,7908.56,12.67,35.0,1.849894291754757
Epsilon_Group,Packaging,Delivered,Yes,696,2022-07-16,2022-08-01,16.0,99.59,90.18,62765.280000000006,9.41,6549.36,9.45,25.0,3.5919540229885056
Delta_Logistics,MRO,Partially Delivered,Yes,70,2023-12-23,2024-01-03,11.0,12.37,11.04,772.8,1.33,93.1,10.75,10.0,
Gamma_Co,Raw Materials,Delivered,Yes,890,2022-03-13,2022-03-15,2.0,98.26,93.14,82894.6,5.12,4556.8,5.21,49.0,5.50561797752809
Alpha_Inc,MRO,Delivered,Yes,216,2022-02-16,2022-03-04,16.0,13.95,12.31,2658.96,1.64,354.24,11.76,5.0,2.314814814814815
Delta_Logistics,Packaging,Delivered,Yes,1347,2023-11-09,2023-11-12,3.0,100.13,94.3,127022.09999999999,5.83,7853.01,5.82,200.0,14.847809948032664
Gamma_Co,Office Supplies,Partially Delivered,No,437,2022-08-22,2022-08-25,3.0,59.51,56.45,24668.65,3.06,1337.22,5.140000000000001,25.0,
Alpha_Inc,Electronics,Delivered,Yes,650,2022-10-24,2022-10-26,2.0,103.84,88.28,57382.0,15.56,10114.0,14.979999999999999,12.0,1.8461538461538463
Beta_Supplies,Office Supplies,Delivered,Yes,365,2022-03-23,2022-04-11,19.0,16.81,15.41,5624.65,1.4,511.0,8.33,38.0,10.41095890410959
Epsilon_Group,Raw Materials,Cancelled,Yes,63,2022-08-27,,,61.94,53.8,3389.3999999999996,8.14,512.82,13.139999999999999,,
Alpha_Inc,MRO,Delivered,Yes,291,2022-04-14,2022-04-22,8.0,98.7,87.02,25322.82,11.68,3398.88,11.83,9.0,3.0927835051546393
Alpha_Inc,MRO,Cancelled,Yes,826,2023-01-25,2023-02-08,14.0,60.5,57.18,47230.68,3.32,2742.32,5.489999999999999,18.0,
Delta_Logistics,Electronics,Pending,Yes,1419,2022-10-12,2022-11-01,20.0,69.64,59.28,84118.32,10.36,14700.84,14.879999999999999,194.0,
Gamma_Co,Office Supplies,Delivered,Yes,614,2023-04-10,2023-04-27,17.0,78.06,73.95,45405.3,4.11,2523.54,5.27,40.0,6.514657980456026
Alpha_Inc,Electronics,Delivered,Yes,947,2023-10-13,2023-10-28,15.0,56.25,54.25,51374.75,2.0,1894.0,3.56,19.0,2.0063357972544877
Epsilon_Group,Raw Materials,Delivered,Yes,1413,2023-01-09,2023-01-28,19.0,70.47,69.65,98415.45000000001,0.82,1158.66,1.16,,
Alpha_Inc,Office Supplies,Partially Delivered,Yes,141,2022-06-16,,,64.15,58.32,8223.12,5.83,822.03,9.09,,
Alpha_Inc,Office Supplies,Delivered,Yes,1440,2023-01-15,2023-02-04,20.0,96.57,83.87,120772.8,12.7,18288.0,13.15,36.0,2.5
Delta_Logistics,Raw Materials,Delivered,No,1005,2022-12-30,2023-01-03,4.0,14.87,12.79,12853.949999999999,2.08,2090.4,13.99,,
Alpha_Inc,MRO,Delivered,No,1528,2022-08-03,,,36.52,33.0,50424.0,3.52,5378.56,9.64,31.0,
Gamma_Co,MRO,Delivered,No,1501,2023-11-18,2023-11-25,7.0,106.05,100.99,151585.99,5.06,7595.06,4.77,77.0,5.129913391072619
Delta_Logistics,Packaging,Delivered,No,558,2022-10-01,2022-10-04,3.0,94.18,81.4,45421.200000000004,12.78,7131.24,13.569999999999999,,
Beta_Supplies,MRO,Delivered,Yes,825,2023-12-20,2023-12-26,6.0,56.88,50.84,41943.0,6.04,4983.0,10.620000000000001,,
Beta_Supplies,Electronics,Cancelled,Yes,84,2023-12-01,2023-12-07,6.0,73.38,71.42,5999.28,1.96,164.64,2.67,9.0,
Delta_Logistics,Raw Materials,Delivered,No,255,2023-10-26,2023-11-10,15.0,38.64,33.59,8565.45,5.05,1287.75,13.07,27.0,10.588235294117647
Gamma_Co,MRO,Delivered,Yes,1154,2022-03-15,2022-03-31,16.0,27.2,26.07,30084.78,1.13,1304.02,4.15,58.0,5.025996533795494
Delta_Logistics,Office Supplies,Delivered,No,1635,2023-09-16,2023-09-24,8.0,56.91,54.37,88894.95,2.54,4152.9,4.46,262.0,16.02446483180428
Delta_Logistics,Raw Materials,Delivered,No,1945,2023-10-13,2023-10-23,10.0,46.19,40.12,78033.4,6.07,11806.15,13.139999999999999,278.0,14.29305912596401
Delta_Logistics,MRO,Partially Delivered,No,1461,2022-06-25,2022-07-10,15.0,64.09,63.39,92612.79,0.7,1022.7,1.09,228.0,
Delta_Logistics,Electronics,Delivered,Yes,1075,2023-07-01,2023-07-09,8.0,18.53,16.12,17329.0,2.41,2590.75,13.01,147.0,13.674418604651162
Alpha_Inc,Packaging,Delivered,Yes,1071,2022-09-08,,,101.6,93.91,100577.61,7.69,8235.99,7.57,25.0,
Epsilon_Group,Packaging,Pending,Yes,1463,2022-06-17,2022-07-06,19.0,101.23,86.17,126066.71,15.06,22032.78,14.879999999999999,43.0,
Beta_Supplies,Raw Materials,Delivered,Yes,615,2023-04-19,2023-04-26,7.0,78.3,73.68,45313.200000000004,4.62,2841.3,5.8999999999999995,69.0,11.219512195121952
Gamma_Co,Electronics,Delivered,Yes,1179,2023-01-24,2023-02-11,18.0,61.74,56.28,66354.12,5.46,6437.34,8.84,,
Alpha_Inc,Electronics,Partially Delivered,Yes,1845,2022-10-04,2022-10-09,5.0,39.56,37.63,69427.35,1.93,3560.85,4.88,45.0,
Beta_Supplies,Electronics,Cancelled,Yes,1895,2023-10-18,,,91.98,86.27,163481.65,5.71,10820.45,6.21,170.0,
Epsilon_Group,MRO,Partially Delivered,No,1550,2023-12-06,2023-12-09,3.0,79.86,69.57,107833.49999999999,10.29,15949.5,12.889999999999999,32.0,
Delta_Logistics,Packaging,Delivered,No,752,2023-07-25,2023-08-04,10.0,26.85,24.37,18326.24,2.48,1864.96,9.24,,
Epsilon_Group,Electronics,Delivered,Yes,451,2022-08-13,2022-09-01,19.0,95.2,90.07,40621.57,5.13,2313.63,5.390000000000001,21.0,4.656319290465632
Beta_Supplies,Office Supplies,Delivered,Yes,779,2023-12-03,,,93.69,90.92,70826.68000000001,2.77,2157.83,2.96,66.0,
Beta_Supplies,MRO,Pending,No,1629,2022-11-29,2022-12-14,15.0,100.26,86.44,140810.76,13.82,22512.78,13.780000000000001,187.0,
Alpha_Inc,Office Supplies,Delivered,Yes,211,2022-02-27,2022-02-22,-5.0,75.69,65.4,13799.400000000001,10.29,2171.19,13.59,2.0,0.9478672985781991
Alpha_Inc,Office Supplies,Delivered,Yes,251,2022-08-23,,,67.49,64.48,16184.480000000001,3.01,755.51,4.46,2.0,
Gamma_Co,Raw Materials,Delivered,Yes,1045,2022-02-02,2022-02-18,16.0,47.88,44.65,46659.25,3.23,3375.35,6.75,69.0,6.6028708133971294
Delta_Logistics,MRO,Delivered,Yes,319,2022-11-20,2022-12-10,20.0,98.64,89.15,28438.850000000002,9.49,3027.31,9.62,57.0,17.86833855799373
Epsilon_Group,Office Supplies,Partially Delivered,Yes,1936,2023-02-15,2023-03-01,14.0,93.66,92.24,178576.63999999998,1.42,2749.12,1.52,58.0,
Delta_Logistics,MRO,Cancelled,No,865,2022-10-02,2022-10-22,20.0,14.7,13.14,11366.1,1.56,1349.4,10.61,135.0,
Epsilon_Group,Electronics,Delivered,Yes,1344,2022-03-09,2022-03-12,3.0,12.5,10.87,14609.279999999999,1.63,2190.72,13.04,44.0,3.273809523809524
Delta_Logistics,Raw Materials,Pending,Yes,505,2022-08-05,2022-08-24,19.0,45.42,40.37,20386.85,5.05,2550.25,11.12,62.0,
Beta_Supplies,Packaging,Delivered,No,1535,2023-08-04,2023-08-05,1.0,90.83,78.28,120159.8,12.55,19264.25,13.819999999999999,151.0,9.8371335504886
Beta_Supplies,Office Supplies,Delivered,Yes,1800,2022-11-19,,,103.8,96.27,173286.0,7.53,13554.0,7.249999999999999,166.0,
Delta_Logistics,Raw Materials,Pending,Yes,1325,2022-08-06,2022-08-15,9.0,24.36,22.75,30143.75,1.61,2133.25,6.61,206.0,
Gamma_Co,Raw Materials,Delivered,No,1066,2023-11-03,2023-11-09,6.0,70.45,65.88,70228.08,4.57,4871.62,6.49,56.0,5.253283302063791
Beta_Supplies,Raw Materials,Delivered,Yes,1775,2023-05-27,2023-06-11,15.0,47.82,45.86,81401.5,1.96,3479.0,4.1000000000000005,180.0,10.140845070422536
Gamma_Co,Raw Materials,Partially Delivered,No,345,2023-02-10,,,103.62,98.09,33841.05,5.53,1907.85,5.34,25.0,
Beta_Supplies,Electronics,Delivered,Yes,1798,2023-10-21,2023-11-09,19.0,94.8,91.83,165110.34,2.97,5340.06,3.1300000000000003,,
Alpha_Inc,MRO,Delivered,Yes,769,2023-04-15,2023-05-01,16.0,91.86,86.55,66556.95,5.31,4083.39,5.779999999999999,17.0,2.2106631989596877
Alpha_Inc,Packaging,Delivered,Yes,1822,2022-05-27,,,53.23,47.49,86526.78,5.74,10458.28,10.780000000000001,39.0,
Delta_Logistics,Packaging,Delivered,Yes,387,2022-09-29,2022-10-13,14.0,49.23,45.41,17573.67,3.82,1478.34,7.76,61.0,15.762273901808785
Epsilon_Group,MRO,Delivered,Yes,928,2022-05-23,2022-05-27,4.0,35.3,32.52,30178.56,2.78,2579.84,7.88,26.0,2.8017241379310347
Alpha_Inc,Packaging,Partially Delivered,Yes,1126,2022-09-10,2022-09-21,11.0,15.68,14.97,16856.22,0.71,799.46,4.53,27.0,
Beta_Supplies,Raw Materials,Cancelled,Yes,841,2023-07-29,2023-08-14,16.0,95.73,85.33,71762.53,10.4,8746.4,10.86,81.0,
Beta_Supplies,Electronics,Delivered,Yes,1995,2023-07-06,2023-07-19,13.0,90.65,77.75,155111.25,12.9,25735.5,14.23,206.0,10.325814536340852
Alpha_Inc,Raw Materials,Delivered,Yes,266,2022-09-27,2022-10-15,18.0,103.97,101.44,26983.04,2.53,672.98,2.4299999999999997,6.0,2.2556390977443606
Alpha_Inc,Raw Materials,Cancelled,Yes,813,2023-08-22,2023-08-25,3.0,109.17,107.39,87308.07,1.78,1447.14,1.63,14.0,
Epsilon_Group,Electronics,Delivered,Yes,237,2023-03-15,2023-03-26,11.0,64.19,59.01,13985.369999999999,5.18,1227.66,8.07,7.0,2.9535864978902953
Alpha_Inc,Office Supplies,Cancelled,Yes,429,2023-08-21,2023-09-03,13.0,86.73,75.09,32213.61,11.64,4993.56,13.420000000000002,9.0,
Delta_Logistics,Packaging,Delivered,No,542,2023-02-13,2023-02-14,1.0,101.21,93.11,50465.62,8.1,4390.2,8.0,78.0,14.391143911439114
Epsilon_Group,Electronics,Delivered,Yes,1114,2023-01-06,2023-01-24,18.0,91.66,85.53,95280.42,6.13,6828.82,6.69,35.0,3.141831238779174
Alpha_Inc,MRO,Delivered,Yes,1230,2022-08-13,2022-08-15,2.0,33.39,30.85,37945.5,2.54,3124.2,7.61,26.0,2.113821138211382
Beta_Supplies,MRO,Delivered,Yes,64,2022-05-22,2022-06-03,12.0,51.56,50.88,3256.32,0.68,43.52,1.32,5.0,7.8125
Alpha_Inc,MRO,Delivered,Yes,1886,2023-06-06,2023-06-22,16.0,23.46,23.18,43717.479999999996,0.28,528.08,1.1900000000000002,,
Delta_Logistics,Office Supplies,Delivered,Yes,114,2023-05-21,2023-05-23,2.0,103.53,101.54,11575.560000000001,1.99,226.86,1.92,14.0,12.280701754385964
Delta_Logistics,Electronics,Cancelled,Yes,1930,2022-04-04,2022-04-22,18.0,65.52,56.9,109817.0,8.62,16636.6,13.16,282.0,
Beta_Supplies,Office Supplies,Pending,Yes,1912,2022-02-18,2022-02-28,10.0,30.73,29.82,57015.840000000004,0.91,1739.92,2.96,191.0,
Epsilon_Group,MRO,Delivered,Yes,570,2022-04-23,2022-05-09,16.0,71.51,66.47,37887.9,5.04,2872.8,7.049999999999999,,
Beta_Supplies,Raw Materials,Delivered,Yes,1417,2022-06-06,2022-06-26,20.0,67.27,60.62,85898.54,6.65,9423.05,9.89,,
Alpha_Inc,Raw Materials,Delivered,No,1202,2023-10-05,2023-10-11,6.0,46.67,44.13,53044.26,2.54,3053.08,5.4399999999999995,21.0,1.747088186356073
Beta_Supplies,Office Supplies,Delivered,No,697,2022-06-13,2022-06-14,1.0,20.73,19.83,13821.509999999998,0.9,627.3,4.34,78.0,11.190817790530847
Epsilon_Group,MRO,Delivered,Yes,1545,2023-11-28,2023-12-01,3.0,78.19,76.91,118825.95,1.28,1977.6,1.6400000000000001,42.0,2.7184466019417477
Gamma_Co,MRO,Partially Delivered,Yes,1136,2023-03-09,2023-03-13,4.0,60.81,58.25,66172.0,2.56,2908.16,4.21,62.0,
Beta_Supplies,MRO,Delivered,No,1212,2023-09-03,2023-09-07,4.0,87.46,74.55,90354.59999999999,12.91,15646.92,14.760000000000002,118.0,9.735973597359736
Epsilon_Group,MRO,Delivered,Yes,1572,2022-03-07,2022-03-12,5.0,57.38,49.32,77531.04,8.06,12670.32,14.05,40.0,2.5445292620865136
Gamma_Co,Electronics,Delivered,Yes,642,2023-01-30,2023-02-09,10.0,91.9,81.49,52316.579999999994,10.41,6683.22,11.33,26.0,4.049844236760125
Epsilon_Group,Office Supplies,Delivered,Yes,441,2023-01-26,2023-02-04,9.0,63.25,54.12,23866.92,9.13,4026.33,14.430000000000001,16.0,3.6281179138321997
Epsilon_Group,Office Supplies,Delivered,Yes,1748,2023-09-03,2023-09-19,16.0,66.53,57.11,99828.28,9.42,16466.16,14.16,,
Gamma_Co,Electronics,Pending,Yes,468,2023-04-25,,,95.57,91.8,42962.4,3.77,1764.36,3.94,24.0,
Beta_Supplies,Raw Materials,Delivered,No,338,2023-06-26,2023-07-14,18.0,50.25,46.28,15642.640000000001,3.97,1341.86,7.9,49.0,14.497041420118343
Gamma_Co,Office Supplies,Delivered,Yes,428,2022-09-15,2022-09-22,7.0,22.94,21.52,9210.56,1.42,607.76,6.1899999999999995,26.0,6.074766355140187
Beta_Supplies,Packaging,Delivered,Yes,1846,2023-07-21,,,13.72,12.62,23296.519999999997,1.1,2030.6,8.02,216.0,
Epsilon_Group,Office Supplies,Delivered,Yes,1563,2022-01-12,2022-01-17,5.0,77.96,70.8,110660.4,7.16,11191.08,9.180000000000001,41.0,2.6231605886116443
Beta_Supplies,Office Supplies,Delivered,Yes,280,2023-11-28,2023-12-07,9.0,73.07,69.29,19401.2,3.78,1058.4,5.17,30.0,10.714285714285714
Delta_Logistics,Raw Materials,Delivered,No,1067,2022-04-28,2022-05-12,14.0,74.47,64.16,68458.72,10.31,11000.77,13.84,,
Gamma_Co,Electronics,Pending,Yes,90,2023-11-30,2023-12-17,17.0,32.38,29.96,2696.4,2.42,217.8,7.470000000000001,7.0,
Gamma_Co,Raw Materials,Delivered,No,1101,2023-07-04,2023-07-05,1.0,24.28,22.73,25025.73,1.55,1706.55,6.38,59.0,5.358764759309718
Alpha_Inc,Raw Materials,Delivered,Yes,184,2022-10-01,2022-10-11,10.0,11.82,10.51,1933.84,1.31,241.04,11.08,4.0,2.1739130434782608
Epsilon_Group,Electronics,Delivered,Yes,250,2023-10-19,2023-11-07,19.0,45.92,41.02,10255.0,4.9,1225.0,10.67,3.0,1.2
Epsilon_Group,Packaging,Cancelled,Yes,1913,2022-12-15,,,66.56,61.34,117343.42000000001,5.22,9985.86,7.84,61.0,
Beta_Supplies,Electronics,Delivered,Yes,829,2022-04-25,2022-04-30,5.0,45.98,40.39,33483.31,5.59,4634.11,12.16,,
Delta_Logistics,Raw Materials,Delivered,Yes,979,2022-10-28,2022-11-13,16.0,51.59,49.69,48646.509999999995,1.9,1860.1,3.6799999999999997,148.0,15.117466802860061
Epsilon_Group,Electronics,Partially Delivered,Yes,1106,2023-03-22,2023-04-09,18.0,97.77,90.45,100037.7,7.32,8095.92,7.489999999999999,31.0,
Delta_Logistics,Office Supplies,Pending,Yes,1121,2022-06-11,2022-06-24,13.0,42.38,38.34,42979.14000000001,4.04,4528.84,9.53,152.0,
Alpha_Inc,Office Supplies,Delivered,Yes,552,2023-04-10,2023-04-21,11.0,60.48,56.78,31342.56,3.7,2042.4,6.12,10.0,1.8115942028985508
Gamma_Co,Packaging,Delivered,Yes,456,2022-01-04,2022-01-12,8.0,80.53,77.86,35504.159999999996,2.67,1217.52,3.32,26.0,5.701754385964912
Delta_Logistics,Packaging,Delivered,Yes,1647,2022-09-27,2022-10-05,8.0,47.52,44.92,73983.24,2.6,4282.2,5.47,,
Epsilon_Group,Electronics,Pending,Yes,1801,2023-05-28,2023-06-11,14.0,71.27,61.24,110293.24,10.03,18064.03,14.069999999999999,43.0,
Gamma_Co,Electronics,Delivered,Yes,854,2022-07-02,2022-07-18,16.0,90.24,85.53,73042.62,4.71,4022.34,5.220000000000001,,
Delta_Logistics,Electronics,Delivered,No,148,2023-06-04,2023-06-17,13.0,103.57,98.62,14595.76,4.95,732.6,4.78,23.0,15.54054054054054
Delta_Logistics,MRO,Delivered,Yes,733,2022-04-19,2022-04-24,5.0,23.59,22.85,16749.05,0.74,542.42,3.1399999999999997,92.0,12.551159618008187
Beta_Supplies,Raw Materials,Delivered,Yes,1945,2023-10-03,2023-10-05,2.0,103.2,88.56,172249.2,14.64,28474.8,14.19,,
Gamma_Co,Raw Materials,Delivered,Yes,775,2022-11-02,2022-11-21,19.0,57.0,49.14,38083.5,7.86,6091.5,13.79,48.0,6.193548387096774
Delta_Logistics,Packaging,Delivered,No,1620,2023-10-17,2023-10-21,4.0,36.73,33.45,54189.00000000001,3.28,5313.6,8.93,235.0,14.506172839506174
Beta_Supplies,Office Supplies,Delivered,Yes,1010,2023-06-04,2023-06-19,15.0,55.68,50.86,51368.6,4.82,4868.2,8.66,,
Epsilon_Group,Office Supplies,Delivered,Yes,1812,2023-09-16,2023-10-01,15.0,108.02,101.02,183048.24,7.0,12684.0,6.4799999999999995,51.0,2.814569536423841
Delta_Logistics,Office Supplies,Delivered,Yes,662,2022-07-23,2022-07-28,5.0,55.97,50.0,33100.0,5.97,3952.14,10.67,100.0,15.105740181268882
Beta_Supplies,Office Supplies,Pending,Yes,1535,2022-06-06,2022-06-11,5.0,40.58,38.71,59419.85,1.87,2870.45,4.61,165.0,
